노래한글,노래영어,피쳐/일본/리믹 한글,피쳐링영어,가수한글,가수영어,멜노래코드,가수코드,발매일,45301,videoid,most-re,앨범자켓,앨범코드,기획사
,,,,,,,,,#VALUE!,,,,,
Stay,Stay,,,,Big Foot,,,,#VALUE!,,,,,
멈추자,,,,,Big Foot,,,,#VALUE!,,,,,
잡으려고 했어,,,,,Big Foot,,,,#VALUE!,,,,,
Rockin' Around The Christmas Tree,Rockin' Around The Christmas Tree,,,,Brenda Lee,,,,#VALUE!,,,,,
,Like It's Christmas,,,,Jonas Brothers,,,,#VALUE!,,,,,
,3D (Justin Timberlake Remix),,,,"Jung Kook, Justin Timberlake",,,,#VALUE!,,,,,
,Standing Next to You (Usher Remix),,,,"Jung Kook, USHER",,,,#VALUE!,,,,,
,Text Me Merry Christmas (feat. Kristen Bell),,,,Straight No Chaser,,,,#VALUE!,,,,,
,You’re Losing Me (From The Vault),,,,Taylor Swift,,,,#VALUE!,,,,,
미친 폼,Crazy Form,,,에이티즈,ATEEZ,11375896,2398260,42479,2792,,,https://cdnimg.melon.co.kr/cm/album/images/029/06/856/2906856_org.jpg,,
Christmas Without You,Christmas Without You,,,에이바맥스,Ava Max,32995675,2137864,44119,1152,,,https://cdnimg.melon.co.kr/cm2/album/images/105/04/572/10504572_20201016105449_org.jpg,,
사랑은 이별이었다,Love Is…,,,황치열,Hwang Chi Yeul,35077133,205746,44693,578,,,https://cdnimg.melon.co.kr/cm2/album/images/109/49/838/10949838_20220511155448_org.jpg,,
No Rules,No Rules,,,백호,BAEKHO,35714605,672808,44846,425,,,https://cdnimg.melon.co.kr/cm2/album/images/110/74/937/11074937_20221012101326_org.jpg,,
이해한다는 말,Understanding,,,황치열,Hwang Chi Yeul,36488387,205746,45078,193,,,https://cdnimg.melon.co.kr/cm2/album/images/112/54/344/11254344_20230531154720_org.jpg,,
별의 하모니,Harmony of Stars,,,QWER,QWER,36877938,3610529,45217,54,,,https://cdnimg.melon.co.kr/cm2/album/images/113/45/655/11345655_20231017161827_org.jpg,,
All For Nothing,All For Nothing,,,태연,TAEYONG,37003915,926682,45257,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/72/896/11372896_20231127104957_org.jpg,,
WE KNOW,WE KNOW,,,에이티즈,ATEEZ,37019020,2398260,45261,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/75/896/11375896_20231129181043_org.jpg,,
Emergency,Emergency,,,에이티즈,ATEEZ,37019021,2398260,45261,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/75/896/11375896_20231129181043_org.jpg,,
ARRIBA,ARRIBA,,,에이티즈,ATEEZ,37019023,2398260,45261,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/75/896/11375896_20231129181043_org.jpg,,
Silver Light,Silver Light,,,에이티즈,ATEEZ,37019024,2398260,45261,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/75/896/11375896_20231129181043_org.jpg,,
꿈날,Dreamy Day,,,에이티즈,ATEEZ,37019026,2398260,45261,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/75/896/11375896_20231129181043_org.jpg,,
MATZ,MATZ,"(홍중, 성화)","(HONGJOONG, SEONGHWA)",에이티즈,ATEEZ,37019027,2398260,45261,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/75/896/11375896_20231129181043_org.jpg,,
IT′s You,IT′s You,"(여상, 산, 우영)","(YEOSANG, SAN, WOOYOUNG)",에이티즈,ATEEZ,37019028,2398260,45261,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/75/896/11375896_20231129181043_org.jpg,,
Youth,Youth,"(윤호, 민기)","(YUNHO, MINGI)",에이티즈,ATEEZ,37019029,2398260,45261,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/75/896/11375896_20231129181043_org.jpg,,
Everything,Everything,(종호),(JONGHO),에이티즈,ATEEZ,37019030,2398260,45261,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/75/896/11375896_20231129181043_org.jpg,,
FIN : WILL,FIN : WILL,,,에이티즈,ATEEZ,37019031,2398260,45261,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/75/896/11375896_20231129181043_org.jpg,,
Say Yes,Say Yes,,,원탑,One Top,37023388,3621901,45262,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/76/708/11376708_20231201112504_org.jpg,,
비의 랩소디,Rhapsody of Sadness,,,임재현,Lim Jae Hyun,37023625,2087273,45263,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/76/816/11376816_20231201120653_org.jpg,,
그댄 달라요,You're Different,(말하고 싶은 비밀 X 권진아),(Our Secret Diary X Kwon Jin Ah),권진아,Kwon Jin Ah,37024667,760046,45264,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/76/993/11376993_20231201144649_org.jpg,,
Soñar,Soñar,(Breaker),(Breaker),엔믹스,NMIXX,37028929,3070786,45264,신곡,https://www.youtube.com/watch?v=MMtRxcy8PX0,,https://cdnimg.melon.co.kr/cm2/album/images/113/77/680/11377680_20231204141552_org.jpg,,
How To Use,How To Use,(intro),(intro),자이언티,Zion.T,37033289,537920,45266,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/78/835/11378835_20231206101358_org.jpg,,
UNLOVE,UNLOVE,(prod. 혼네),(prod. HONNE),자이언티,Zion.T,37033290,537920,45266,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/78/835/11378835_20231206101358_org.jpg,,
모르는 사람,Stranger,,,자이언티,Zion.T,37033291,537920,45266,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/78/835/11378835_20231206101358_org.jpg,,
내가 좋아하는 것들,The Things I Love,(feat. 베니 베넥 3세),(feat. Benny Benack III),자이언티,Zion.T,37033292,537920,45266,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/78/835/11378835_20231206101358_org.jpg,,
V (Peace),V (Peace),(feat. 악뮤),(feat. AKMU),자이언티,Zion.T,37033293,537920,45266,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/78/835/11378835_20231206101358_org.jpg,,
NOT FOR SALE,NOT FOR SALE,,,자이언티,Zion.T,37033294,537920,45266,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/78/835/11378835_20231206101358_org.jpg,,
불 꺼진 방 안에서,Thank u,(feat. 윤석철),(feat. Yun Seokcheol),자이언티,Zion.T,37033296,537920,45266,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/78/835/11378835_20231206101358_org.jpg,,
돌고래,Dolphin,,,자이언티,Zion.T,37033297,537920,45266,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/78/835/11378835_20231206101358_org.jpg,,
입술,Stranger,(Feat. 10CM),(Feat. 10CM),헤이즈,Heize,37033475,751611,45267,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/78/984/11378984_20231206104405_org.jpg,,
What are we,What are we,(Feat. 박지원 of 프로미스나인),(Feat. PARK JIWON of fromis_9),백호,BAEKHO,37039446,672808,45267,신곡,,,https://cdnimg.melon.co.kr/cm2/album/images/113/80/045/11380045_20231207101345_org.jpg,,
그런일은,그런일은,,,박화요비,Park Hwayobi,492084,2017,37918,7353,,,https://cdnimg.melon.co.kr/cm/album/images/000/33/000/33000_org.jpg,,
And July,And July,(feat. 딘 & DJ 프리즈),(feat. DEAN & DJ Friz),헤이즈,Heize,8271355,751611,42569,2702,rCeM57e2BfU,,https://cdnimg.melon.co.kr/cm/album/images/026/88/360/2688360_org.jpg,,
금빵 오빠야 (New Ver.),금빵 오빠야 (New Ver.),,,이백길,이백길,금빵 오빠야 (New Ver.),이백길,,#VALUE!,,,,,
김하성,김하성,,,이백길,이백길,김하성,이백길,,#VALUE!,,,,,
달린다 아버지,달린다 아버지,,,이백길,이백길,달린다 아버지,이백길,,#VALUE!,,,,,
이런 느낌 처음이에요 (유혹송),이런 느낌 처음이에요 (유혹송),,,이백길,이백길,이런 느낌 처음이에요 (유혹송),이백길,,#VALUE!,,,,,
이런 느낌 처음이에요 (유혹송),이런 느낌 처음이에요 (유혹송),,,이백길,이백길,이런 느낌 처음이에요 (유혹송),이백길,,#VALUE!,,,,,
정동진 부채길(2022),정동진 부채길(2022),,,이백길,이백길,정동진 부채길(2022),이백길,,#VALUE!,,,,,
징글벨 (Feat. PD블루),징글벨 (Feat. PD블루),,,이백길,이백길,징글벨 (Feat. PD블루),이백길,,#VALUE!,,,,,
태어나줘서 고마워 (Happybirthday To You),태어나줘서 고마워 (Happybirthday To You),,,이백길,이백길,태어나줘서 고마워 (Happybirthday To You),이백길,,#VALUE!,,,,,
제외곡,제외곡,,,제외곡,제외곡,99999999,999999,36525,8746,,,,,
supїdo,supїdo,,,프로지,фрози,supїdo,3053664,45149,122,6tI-0LBamGg,,,,0
Butterfly Nebula,Butterfly Nebula,,,"CENTER MASS, Todd Krasovetz","CENTER MASS, Todd Krasovetz",Butterfly Nebula,"CENTER MASS, Todd Krasovetz",Butterfly Nebula,#VALUE!,,,,,
Demon,Demon,,,"$ecrecy, BIGBABYGUCCI","$ecrecy, BIGBABYGUCCI",Demon,"$ecrecy, BIGBABYGUCCI",Demon,#VALUE!,,,,,
Deseydin Anlardım,Deseydin Anlardım,,,EDES,EDES,Deseydin Anlardım,EDES,Deseydin Anlardım,#VALUE!,,,,,
El Final - Remix,El Final - Remix,,,"Juanfran, BANDIDO, Carlos Feria, Carlos Heredia","Juanfran, BANDIDO, Carlos Feria, Carlos Heredia",El Final - Remix,"Juanfran, BANDIDO, Carlos Feria, Carlos Heredia",El Final - Remix,#VALUE!,,,,,
For You,For You,,,Papi Giddy,Papi Giddy,Papi Giddy,Papi Giddy,Papi Giddy,#VALUE!,,,,,
Spooky,Spooky,,,RahRahBeats,RahRahBeats,Spooky,RahRahBeats,Spooky,#VALUE!,,,,,
Step Right Back,Step Right Back,,,Last Funk,Last Funk,Step Right Back,Last Funk,Step Right Back,#VALUE!,,,,,
Dios Es Mi Guia,Dios Es Mi Guia,,,Renzo VZ,Renzo VZ,Dios Es Mi Guia,renzo vz,없음,#VALUE!,,,,,0
Latin Urban Electronic Music,Latin Urban Electronic Music,,,Renzo VZ,Renzo VZ,Latin Urban Electronic Music,renzo vz,없음,#VALUE!,,,,,0
Le Jazz de V,Le Jazz de V,(Live Clip),(Live Clip),뷔(방탄소년단) & 서민아,V(BTS) & Minna Seo,Le Jazz de V,725989,없음,#VALUE!,,,,,0
Track 11,Track 11,,,찰리 푸스,Charlie Puth,track 11,838654,없음,#VALUE!,,,,,0
Part of Your World,Part of Your World,,,다니엘(뉴진스),Danielle,뉴진스,2899555,없음,#VALUE!,,,,,0
AHYEON (Live),AHYEON (Live),,,아현(베이비몬스터),AHYEON(BABYMONSTER),아현,1024490,없음,#VALUE!,,,,,0
유튜브,유튜브,유튜브,유튜브,유튜브,,유튜브,유튜브,없음,#VALUE!,,,,,0
HARAM (Live),HARAM (Live),,,하람(베이비몬스터),HARAM(BABYMONSTER),하람,없음,없음,#VALUE!,,,,,
DREAM,DREAM,,,하람(베이비몬스터),HARAM(BABYMONSTER),하람2,2137482,없음,#VALUE!,,,,,
어제처럼,어제처럼,,,제이,J,3824,1203,36637,8634,,,https://cdnimg.melon.co.kr/cm/album/images/000/00/104/104_org.jpg,104,
초애,First love,(初愛) (Remix),(Remix),쿠키,Cookie,27792,101001,36832,8439,,,https://cdnimg.melon.co.kr/cm/album/images/000/00/373/373_org.jpg,,
날 닮은 너,You Look Like Me,,,임창정,Lim Changjung,10291,1142,36830,8441,,,https://cdnimg.melon.co.kr/cm/album/images/000/00/666/666_org.jpg,666,
거짓말,거짓말,,,지오디,god,10435,100007,36833,8438,,,https://cdnimg.melon.co.kr/cm/album/images/000/00/717/717_org.jpg,,
하루,하루,(Original Ver.),,김범수,Kim Bum Soo,3528766,6502,36831,8440,,,https://cdnimg.melon.co.kr/cm/album/images/000/00/721/721_org.jpg,721,
Endless,Endless,,,플라워,Flower,9573,100391,37124,8147,,,https://cdnimg.melon.co.kr/cm/album/images/000/00/781/781_org.jpg,781,
오빠,오빠,,,왁스,WAX,8921,2267,36844,8427,,,https://cdnimg.melon.co.kr/cm/album/images/000/00/814/814_org.jpg,,
Tears,Tears,,,소찬휘,So Chanwhee,8983,3897,36864,8407,,,https://cdnimg.melon.co.kr/cm/album/images/000/00/835/835_org.jpg,835,
여름 이야기,여름 이야기,,,DJ DOC,DJ DOC,9389,100005,36872,8399,,,https://cdnimg.melon.co.kr/cm/album/images/000/00/927/927_org.jpg,,
기억이란 사랑보다,Lee Moon Sae 43,,,이문세,Lee Moon Sae,5156,43,36971,8300,,,https://cdnimg.melon.co.kr/cm/album/images/000/01/931/1931_org.jpg,,
꿈이어도 사랑할래요,꿈이어도 사랑할래요,,,임지훈,임지훈,7691,3243,37004,8267,,,https://cdnimg.melon.co.kr/cm/album/images/000/02/103/2103_org.jpg,,
다시 사랑한다면,다시 사랑한다면,,,도원경,도원경,17282,1048,37012,8259,,,https://cdnimg.melon.co.kr/cm/album/images/000/02/255/2255_org.jpg,2255,
Always Somewhere,Always Somewhere,,,스콜피언스,Scorpions,18548,100203,37025,8246,,,https://cdnimg.melon.co.kr/cm/album/images/000/02/377/2377_org.jpg,,
벌써 일년,벌써 일년,,,브라운 아이즈,Brown Eyes,19807,100742,37049,8222,,,https://cdnimg.melon.co.kr/cm/album/images/000/02/393/2393_org.jpg,2393,IK POP
아름다운 구속,Beautiful Restriction,,,김종서,Kim Jong Seo,38394,15,35370,9901,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/008/3008_org.jpg,3008,-
너 정말?,You Really?,,,김현정,Kim Hyun Jung,38423,1177,36668,8603,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/009/3009_org.jpg,,
멍,Bruise,,,김현정,Kim Hyun Jung,38426,1177,36668,8603,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/009/3009_org.jpg,3009,
그녀와의 이별,Break up with Her,,,김현정,Kim Hyun Jung,38547,1177,35431,9840,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/014/3014_org.jpg,3014,
혼자한 사랑,Love Alone,,,김현정,Kim Hyun Jung,38548,1177,35431,9840,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/014/3014_org.jpg,3014,
나를 슬프게 하는 사람들,나를 슬프게 하는 사람들,,,김경호,Kim Kyung Ho,38662,895,35587,9684,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/022/3022_org.jpg,3022,
나의 사랑 천상에서도,나의 사랑 천상에서도,,,김경호,Kim Kyung Ho,38698,895,38821,6450,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/025/3025_org.jpg,,
거꾸로 강을 거슬러 오르는 저 힘찬 연어들처럼,Like the Salmon That Tracing up the River,,,강산에,Kang Saneh,38793,39,35855,9416,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/034/3034_org.jpg,3034,카카오엔터테인먼트
백년의 약속,백년의 약속,,,김종환,Kim Jong Hwan,38860,1107,36652,8619,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/038/3038_org.jpg,3038,-
사랑하는 이여 내 죽으면,"Dear. My love, when I die",,,송골매,Songolmae,33601,101078,33146,12125,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/206/3206_org.jpg,,
둥지,A Nest,,,남진,Nam Jin,37820,1124,38818,6453,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/210/3210_org.jpg,,
머피의 법칙,머피의 법칙,,,DJ DOC,DJ DOC,33146,100005,45218,53,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/260/3260_org.jpg,,
시간이 흐른 뒤,As Time Goes By,,,윤미래,Yoon Mirae,105886,1654,37144,8127,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/279/3279_org.jpg,,
하루하루,Day by Day,,,윤미래,Yoon Mirae,105899,1654,37144,8127,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/279/3279_org.jpg,3279,월드뮤직
가위,가위,,,유승준,Steve Yoo,489876,1008,37135,8136,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/394/3394_org.jpg,3394,
3!4!,3!4!,,,룰라,Roo'RA,32616,106610,35521,9750,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/430/3430_org.jpg,3430,
나만의 슬픔,My own sorrow,,,김돈규,Kim Don-kyoo,69343,6212,35368,9903,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/581/3581_org.jpg,3581,대하기획
김성호의 회상,김성호의 회상,,,김성호,Kim Sungho,50313,1983,33878,11393,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/584/3584_org.jpg,,
잘못된 만남,Wrongful Meeting,(2009 Re-Mastering Version),,김건모,Kim Gun Mo,62462,889,34723,10548,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/707/3707_org.jpg,3707,
아름다운 이별,아름다운 이별,,,김건모,Kim Gun Mo,62458,889,37987,7284,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/707/3707_org.jpg,,
내 사랑 내 곁에,,,,김현식,Kim Hyun Shik,49933,5856,33264,12007,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/731/3731_org.jpg,,
너에게로 또 다시,너에게로 또 다시,,,변진섭,Byun Jin Sub,52441,1128,32806,12465,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/928/3928_org.jpg,3928,
Dash,Dash,,,백지영,Baek Ji Young,87307,1118,36633,8638,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/956/3956_org.jpg,3956,
부담,부담,,,백지영,Baek Ji Young,81926,1118,38718,6553,,,https://cdnimg.melon.co.kr/cm/album/images/000/03/960/3960_org.jpg,,
그댄 봄비를 무척 좋아하나요,그댄 봄비를 무척 좋아하나요,,,배따라기,Baettaragi,66528,100751,32905,12366,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/023/4023_org.jpg,4023,
환상속의 그대,환상속의 그대,,,서태지와 아이들,Seo Taiji and Boys,67463,100161,35105,10166,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/068/4068_org.jpg,,
보라빛 엽서,보라빛 엽서,,,설운도,Seol Undo,72270,18,35462,9809,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/075/4075_org.jpg,,
당신은 누구시길래,What a Person Like You,,,심수봉,Shim Soo Bong,73297,33,35462,9809,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/223/4223_org.jpg,,
백만송이 장미,Million roses,,,심수봉,Shim Soo Bong,73294,33,45214,57,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/223/4223_org.jpg,,
영원히 내게,영원히 내게,,,안상수,안상수,64025,957,43231,2040,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/225/4225_org.jpg,,
초대,Invitation,,,엄정화,Um Junghwa,79740,1100,35977,9294,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/311/4311_org.jpg,,
Poison,Poison,,,엄정화,Um Junghwa,83721,1100,35977,9294,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/311/4311_org.jpg,4311,
Festival,Festival,,,엄정화,Um Junghwa,83471,1100,36312,8959,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/314/4314_org.jpg,4314,
광화문 연가,광화문 연가,,,이문세,Lee Moon Sae,47130,43,32401,12870,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/441/4441_org.jpg,4441,예전미디어
비와 당신의 이야기,비와 당신의 이야기,,,이승철,Lee Seung Chul,58165,1010,32852,12419,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/497/4497_org.jpg,,
라일락이 질때,라일락이 질때,,,이선희,Lee Sun Hee,91212,966,35362,9909,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/521/4521_org.jpg,,
추억의 책장을 넘기면,추억의 책장을 넘기면,,,이선희,Lee Sun Hee,64942,966,33105,12166,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/531/4531_org.jpg,,
언젠가는,Someday,,,이상은,Lee Sang-Eun,54376,458,33970,11301,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/533/4533_org.jpg,4533,
어떤가요?,어떤가요?,,,이정봉,Lee Jung Bong,67962,1091,35298,9973,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/567/4567_org.jpg,4567,
이밤이 지나면,이밤이 지나면,,,임재범,Lim Jae Beum,49565,4838,1991,43280,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/664/4664_org.jpg,4664,
1994년 어느 늦은 밤,1994년 어느 늦은 밤,,,장혜진,Jang Hye Jin,104894,5675,37014,8257,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/733/4733_org.jpg,4733,Beyond Music
나의 외로움이 널 부를 때,나의 외로움이 널 부를 때,,,장필순,Jang Pill Soon,74563,1514,35643,9628,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/746/4746_org.jpg,,
꿈에,꿈에,,,조덕배,Cho Dukbae,47785,527,38986,6285,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/752/4752_org.jpg,,
너를 사랑하고도,너를 사랑하고도,,,전유나,전유나,69663,1051,35186,10085,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/753/4753_org.jpg,4753,
꽃밭에서,꽃밭에서,,,조관우,Jo Kwan Woo,64562,898,1995,43276,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/783/4783_org.jpg,4783,
다짐,,,,조성모,,106215,969,36770,8501,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/801/4801_org.jpg,,
꿈,Dream,,,조용필,Cho Yong Pil,52004,19,1991,43280,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/906/4906_org.jpg,4906,
무정,heartless,(無情),,채정안,Chae Jung Ann,83646,1095,36373,8898,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/911/4911_org.jpg,4911,
편지,Letter,,,채정안,Chae Jung Ann,87596,1095,36654,8617,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/913/4913_org.jpg,4913,
만남,Meeting,,,코요태,KOYOTE,83190,100022,36173,9098,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/936/4936_org.jpg,4936,
순정,Pure love,,,코요태,KOYOTE,91310,100022,36173,9098,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/936/4936_org.jpg,4936,조은엔터테인먼트
유혹,Temptation,,,코요태,KOYOTE,85668,100022,36465,8806,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/937/4937_org.jpg,,
실연,Broken Heart,,,코요태,KOYOTE,91320,100022,36470,8801,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/937/4937_org.jpg,4937,도레미
미련,Still attached,,,코요태,KOYOTE,91321,100022,36470,8801,,,https://cdnimg.melon.co.kr/cm/album/images/000/04/937/4937_org.jpg,4937,
진이,Jin-E,,,하이디,Heidy,69601,12084,35156,10115,,,https://cdnimg.melon.co.kr/cm/album/images/000/05/036/5036_org.jpg,5036,워즈맥스
천상재회,천상재회,,,최진희,Choi JinHee,85278,1138,36281,8990,,,https://cdnimg.melon.co.kr/cm/album/images/000/05/040/5040_org.jpg,,
사랑의 미로,사랑의 미로,,,최진희,Choi JinHee,60161,1138,42208,3063,,,https://cdnimg.melon.co.kr/cm/album/images/000/05/046/5046_org.jpg,,
내 남은 사랑을 위해,내 남은 사랑을 위해,,,홍경민,Hong Kyung Min,80392,891,36039,9232,,,https://cdnimg.melon.co.kr/cm/album/images/000/05/186/5186_org.jpg,,
나는 당신께 사랑을 원하지 않았어요,나는 당신께 사랑을 원하지 않았어요,,,홍서범,홍서범,52785,584,1996,43275,,,https://cdnimg.melon.co.kr/cm/album/images/000/05/197/5197_org.jpg,,
맨발의 청춘,맨발의 청춘,,,벅,BUCK,91245,100142,35440,9831,,,https://cdnimg.melon.co.kr/cm/album/images/000/05/201/5201_org.jpg,5201,
왜불러,Why calling,,,디바,Diva,78351,100028,35886,9385,,,https://cdnimg.melon.co.kr/cm/album/images/000/05/209/5209_org.jpg,5209,
발걸음,발걸음,,,에메랄드캐슬,Emerald castle,73737,100167,35521,9750,,,https://cdnimg.melon.co.kr/cm/album/images/000/05/242/5242_org.jpg,5242,
하늘땅 별땅,하늘땅 별땅,,,비비,B.B,91280,100003,1997,43274,,,https://cdnimg.melon.co.kr/cm/album/images/000/05/255/5255_org.jpg,5255,-
day by day,day by day,,,애즈원,As One,91318,100093,36465,8806,,,https://cdnimg.melon.co.kr/cm/album/images/000/05/278/5278_org.jpg,5278,-
어머님께,어머님께,,,지오디,god,91309,100007,36161,9110,,,https://cdnimg.melon.co.kr/cm/album/images/000/05/286/5286_org.jpg,,
